<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:ba7f453fa36845afd5820c59027f4fe57d992fe8befa0a4800c5205f065b145e
size 5196
=======
PUBLISHEDDATE,TEXT
2019-03-04,"""Prices of potatoes have tumbled 25-30% to Rs 700-750 a tonne in Uttar Pradesh"
2019-04-03,"""Prices of potatoes have tumbled 25-30% to Rs 700-750 a tonne in Uttar Pradesh"
2019-04-03,"""Representative image: A schoolteacher and a lecturer have had to pay the price for airing their views on social media. iStockA primary schoolteacher has been suspended in BJP-ruled Uttar Pradesh for lauding Imran Khan while an engineering college lecturer in Karnataka was forced by the ABVP to kneel and apologise for an anti-war post critical of the BJP.Amrendra Kumar Azad"
2019-06-20,"""By Express News ServiceTHIRUVANANTHAPURAM: The state government would provide 5 kg rice as a special allotment to the families of fishermen in the coastal areas considering the rough sea and sea erosion in the coastal belt.The rice would be distributed based on the list submitted by the Fisheries Department and the cost of which will be met from the budget allocation of the Civil Supplies Department.The Cabinet meeting held on Wednesday also decided to allow the fund required for the rehabilitation of the families residing in the 50-metre section of the High Tide line from the Chief Ministers Distress Relief Fund partially.An amendment to provide Rs 100 crore for the Irrigation Department works was also agreed on at the meeting. The meeting also decided to start 16 inland Malsya Bhavans in the first phase under the Fisheries Department for which 16 posts of fisheries extension officers and sub inspector of fisheries would be created.Other major Cabinet decisions22 permanent posts and 15 daily wages posts will be created in Kannur Government Ayurveda College to start OP service in obstetrics-gynaecology and paediatrics sections.The tenure of Director-General of Prosecution Advocate C Sreedharan Nair and State Attorney K V Sohan extended for the next three years as their tenure ended on June 15.Rs 10 lakh allotted from the CMDRF for the treatment of writer U A KhaderK N Satheesh appointed the managing director of Supplyco.The project agreement and financing agreement submitted by KMRL to avail the 1.8-million euro financial assistance from the German funding agency for the Integrated Water Transport System approved.The government guarantee amount of Kerala State Development Corporation for Scheduled Castes and Scheduled Tribes Ltd to the National Scheduled Cast Finance and Development Corporation increased to Rs 30 crore from Rs 20 crore.The order sanctioning 40 posts in Samagra Shiksha Kerala as per its staff pattern approved.The fund required for the Rural Road Rehabilitation and Maintenance Project"
2019-08-20,"""Priyanka Gandhi (ANI file photo)                ? # #BJPFuelLoot  Priyanka Gandhi Vadra (@priyankagandhi) 1566301218000NEW DELHI: Congress leader Priyanka Gandhi Vadra on Tuesday hit out at the BJP government in Uttar Pradesh over the fuel price hike in the state"
2019-08-20,"""By IANSLUCKNOW: Bahujan Samaj Party supremo Mayawati on Tuesday slammed the Yogi Adityanath government in Uttar Pradesh for increasing the prices of petrol and diesel.The """"cruel decision"""" would lead to inflation and affect the middle and lower sections of society"
2019-08-20,"""By IANSLUCKNOW: Petrol and diesel will cost more in Uttar Pradesh from Tuesday after the state government hiked Value Added Tax (VAT)on both.A litre of petrol will now cost 98 paisa more across the state while a litre of diesel has become dearer by Rs 2.35.The rise in prices of the fuel comes after the state government decided to increase VAT on petrol to 26.80 per cent while that on diesel to 17.48 per cent. The new and hiked prices came into effect at midnight on Monday.The hike in prices is bound to have a cascading effect on the household budgets and the transport sector."
2019-09-10,"""Its board that met in Lucknow on September 5 has decided to increase the rates by 16% for properties in Vasun... Read MoreGHAZIABAD: The Uttar Pradesh Housing Board has increased sector rates in its areas and the revised prices have come into effect retrospectively from September 1"
2019-10-07,"""NEW DELHI: Here are the big sports events lined up for Tuesday (October 8) that comprise the action from Women's World Boxing Championships and Vijay Hazare Trophy Saurashtra vs JharkhandPuducherry vs SikkimUttarakhand vs NagalandMeghalaya vs MizoramKerala vs ChhattisgarhPunjab vs Himachal PradeshDelhi vs Uttar PradeshVidarbha vs HaryanaMumbai vs Goa Mary Kom vs Jutamas Jitpong (Thailand) in 51kg round of 16 Saweety Boora vs Lauren Louise Price (Wales) in 75kg round of 16"
2019-11-05,"""Kanpur (Uttar Pradesh): A dismembered body of a 17-year-old girl was found under suspicious circumstances on the Delhi-Howrah rail track in Uttar Pradesh's Auraiyya district.The girl had apparently been run over by a train on Monday.What was even more shocking was the fact that the Government Railway Police (GRP) personnel used a shovel to remove the prices of the body from the tracks which further mutilated the body.Senior GRP officials have assured an inquiry into the matter and action against the guilty after a video of the incident was posted on the social media.Meanwhile"
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
