<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:9815c41bdf6a10d8e2239f32a329ef4b5693f0fa707dd391dcda24f25a9cede9
size 9248
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,22,21,24,58,68,60,65,50,35,48,118,92,76,87,92,71,27,200,18,12,14,10
ALLAHABAD,25,21,22,55,60,49,64,49,38,40,142,100,78,90,98,76,32,190,19,16,15,18
AMRITSAR,31,20,22,69,79,69,80,77,38,44,140,94,81,92,102,NR,40,200,18,11,18,25
BATHINDA,26,19,21,65,71,65,80,60,34,44,116,101,86,86,124,NR,32,210,18,10,20,20
CHANDIGARH,28,23,25,53,60,51,70,50,37,44,128,100,76,87,88,NR,34,220,16,16,20,25
DEHRADUN,22,20,22,67,71,74,73,76,36,41,137,83,84,79,107,NR,37,219,18,22,29,34
DELHI,36,24,27,76,87,86,88,77,39,42,162,121,94,99,110,80,49,236,18,24,27,28
DHARAMSHALA,28,NR,25,60,75,65,75,65,44,40,120,125,85,90,100,75,40,200,18,20,20,30
GORAKHPUR,24,21,25,63,68,56,85,56,38,42,153,120,69,92,126,76,40,180,18,20,28,30
GURGAON,30,20,22,60,73,70,68,55,37,42,150,92,93,101,107,85,40,240,17,25,25,30
HALDWANI,23,21,24,64,73,77,75,73,36,43,131,100,84,84,104,NR,34,189,18,22,29,29
HARIDWAR,24,21,24,69,69,77,71,71,37,42,139,99,79,84,104,NR,37,199,18,24,29,30
HISAR,32,20,24,50,75,67,70,50,36,42,148,104,90,107,104,89,30,200,18,20,25,30
JAMMU,33,22,27,66,80,82,82,62,42,45,NR,122,98,120,121,102,40,240,19,20,20,25
JHANSI,28,20,22,56,70,45,65,59,40,50,90,100,80,90,90,80,40,200,16,20,16,12
KANPUR,26,20,24,62,73,62,63,51,40,52,110,99,76,98,108,81,39,130,14,20,23,32
KARNAL,25,18,24,54,82,75,72,55,36,45,150,96,85,85,103,76,42,190,18,20,23,22
LUCKNOW,27,20,22,65,68,70,75,60,36,52,142,105,80,96,98,96,32,230,19,20,20,20
LUDHIANA,32,20,23,67,77,69,77,74,36,44,138,94,81,92,100,NR,42,210,18,15,22,27
MANDI,33,NR,26,62,61,74,77,54,36,NR,NR,120,80,84,NR,NR,29,NR,18,20,15,25
MEERUT,35,20,25,66,72,70,75,66,36,52,NR,100,90,95,NR,90,35,200,20,14,20,20
PANCHKULA,30,20,25,68,74,70,68,68,40,48,160,100,90,100,95,76,50,210,19,30,30,30
RUDRAPUR,21,20,23,65,74,79,69,71,35,41,128,89,84,84,104,NR,37,219,18,24,29,29
SHIMLA,30,NR,24,67,70,70,74,61,38,30,158,129,97,98,NR,NR,38,180,18,25,20,20
SOLAN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
SRINAGAR,29,22,22,60,70,70,65,70,48,38,NR,130,120,120,140,NR,48,295,18,30,30,40
VARANASI,26,21,25,72,74,78,87,68,40,48,152,131,92,101,123,80,49,225,18,16,24,25
AHMEDABAD,23,20,22,58,64,58,63,54,36,48,104,86,73,85,83,75,44,210,17,18,17,25
AMBIKAPUR,26,23,30,82,80,55,90,53,40,40,104,109,65,94,107,93,45,220,10,20,25,20
BHOPAL,27,22,25,57,64,65,76,58,37,48,105,100,68,92,85,72,48,250,16,20,15,10
