<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:fee650e12f41de816fb80660a194a60cd1228c01c6405c7762632bb1dd4bf305
size 4610
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
CHANDIGARH,23,15,18,54,65,62,66,56,36,35,107,100,72,82,85,107,32,265,14,20,15,20
DELHI,24,15,17,59,70,64,66,54,35,29,167,100,84,92,105,NR,39,171,16,18,13,18
HISAR,23,13,14,51,71,68,70,NR,35,40,108,85,69,80,90,NR,30,150,14,15,12,11
KARNAL,20,13,15,52,60,54,NR,NR,35,36,124,87,75,85,94,NR,27,140,12,11,13,12
SHIMLA,28,NR,19,60,65,64,66,55,36,26,143,123,86,91,NR,NR,37,130,14,16,12,20
MANDI,23,NR,16,60,64,59,64,52,35,20,118,114,81,86,NR,NR,35,280,14,14,12,10
SRINAGAR,21,20,20,60,65,NR,NR,NR,33,30,NR,111,82,NR,NR,NR,NR,300,13,21,16,NR
JAMMU,26,14,15,55,65,63,62,54,36,28,NR,NR,75,93,99,84,40,190,14,20,14,15
AMRITSAR,22,13,16,55,60,50,70,60,33,37,NR,NR,NR,NR,NR,NR,36,180,13,16,9,8
LUDHIANA,24,14,17,55,63,62,61,51,34,34,130,95,75,85,110,75,35,180,14,14,13,20
BATHINDA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
LUCKNOW,19,13,15,60,65,70,72,52,33,40,126,98,77,NR,NR,NR,38,200,15,15,10,30
KANPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
VARANASI,16,11,14,52,58,56,65,40,33,40,125,90,66,NR,NR,NR,32,200,16,15,10,25
AGRA,17,12,14,57,62,56,56,52,33,34,90,84,76,NR,NR,NR,31,200,12,14,10,12
DEHRADUN,16,14,16,52,60,60,72,NR,35,36,90,90,72,91,NR,NR,35,150,14,15,12,12
RAIPUR,20,17,20,60,68,50,60,50,32,30,140,100,85,85,93,80,40,160,8,20,10,29
PANAJI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AHMEDABAD,19,15,17,52,58,50,58,44,31,36,139,86,73,78,79,67,38,250,14,13,11,15
RAJKOT,19,16,17,62,62,57,65,50,32,40,135,84,73,78,78,66,45,260,14,16,11,18
BHOPAL,19,14,16,46,70,54,62,44,32,35,120,74,58,72,73,58,36,165,12,12,6,18
INDORE,24,15,17,62,65,55,61,50,32,32,154,93,82,88,99,NR,37,185,7,15,6,20
MUMBAI,27,24,27,64,71,73,69,60,33,36,132,96,92,83,91,72,47,200,14,20,14,22
NAGPUR,23,19,20,52,60,53,59,44,33,29,133,94,80,87,95,74,39,152,13,12,12,20
JAIPUR,22,15,15,53,59,44,53,44,33,26,132,89,63,82,NR,NR,30,130,12,12,8,14
JODHPUR,27,12,15,51,50,42,46,NR,31,34,136,107,67,NR,NR,NR,24,220,15,12,8,14
KOTA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
PATNA,25,15,16,57,61,56,56,46,34,30,NR,95,73,93,93,73,NR,155,11,13,12,18
