<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d5b084097d0fe1b1b1bf1e7fb75d91997d6a358dc5aede407986d84875f8e8e5
size 9443
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,18,20,23,124,90,86,65,66,39,48,122,95,75,80,95,66,30,200,18,8,12,10
ALLAHABAD,20,18,20,120,102,84,80,80,45,40,157,111,78,95,114,72,40,190,15,14,10,15
AMRITSAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
BATHINDA,27,19,25,135,125,115,75,82,43,44,170,107,83,87,115,NR,48,210,18,8,20,17
CHANDIGARH,28,22,24,125,100,92,72,73,40,44,128,105,75,86,95,NR,36,225,18,12,15,24
DEHRADUN,23,22,26,75,140,135,120,95,42,40,138,100,75,87,105,NR,34,230,17,15,18,25
DELHI,30,22,25,135,110,113,83,84,40,39,165,128,88,99,109,77,44,215,18,15,24,24
DHARAMSHALA,30,NR,27,135,130,110,85,90,44,40,120,130,80,80,90,75,40,180,18,15,18,20
GORAKHPUR,20,21,24,138,96,82,80,NR,41,42,NR,115,65,80,115,62,40,180,20,8,14,20
GURGAON,35,23,25,140,120,90,75,80,41,40,118,90,74,92,92,70,38,180,18,13,20,10
HALDWANI,23,22,24,75,140,135,120,95,42,40,138,100,75,87,105,NR,34,230,17,15,16,25
HARIDWAR,23,22,25,76,140,135,120,95,42,40,135,100,75,82,108,NR,34,210,17,16,16,26
HISAR,34,22,24,140,120,120,75,80,39,40,120,109,74,93,87,70,42,180,18,15,18,25
JAMMU,30,22,26,142,125,110,74,82,46,40,NR,127,88,110,118,96,44,240,18,13,20,25
JHANSI,25,20,23,130,115,100,80,80,39,50,NR,90,NR,NR,NR,NR,40,NR,16,10,10,8
KANPUR,22,20,24,138,90,90,70,70,41,50,150,110,76,85,110,75,38,190,14,8,12,15
KARNAL,28,25,29,145,146,125,96,92,40,40,155,104,85,90,94,75,45,200,20,20,18,15
LUCKNOW,23,20,22,145,90,105,85,75,40,50,125,107,80,92,95,75,45,230,16,10,18,20
LUDHIANA,28,19,26,128,130,130,90,116,42,45,175,126,80,86,104,71,52,220,18,20,15,30
MANDI,30,NR,28,135,105,100,70,75,41,28,NR,137,76,80,NR,NR,34,180,17,8,18,20
MEERUT,30,23,24,145,105,105,78,88,40,50,NR,105,90,NR,NR,NR,32,200,18,8,12,20
PANCHKULA,25,20,28,128,120,115,85,85,40,40,145,115,75,84,100,76,40,180,18,10,18,20
RUDRAPUR,22,22,24,74,140,132,115,95,41,40,130,94,77,85,105,NR,36,220,17,14,15,24
SHIMLA,30,NR,26,139,105,99,77,78,43,30,157,139,87,87,NR,NR,38,180,17,20,19,22
SOLAN,34,NR,27,131,104,97,70,76,42,35,NR,139,87,90,NR,75,38,170,18,10,16,15
SRINAGAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
VARANASI,23,22,25,143,120,115,90,80,41,45,138,115,77,85,112,69,43,205,18,15,18,18
AHMEDABAD,28,22,26,118,89,87,62,66,42,46,114,96,70,75,85,70,48,210,17,15,15,20
AMBIKAPUR,22,22,26,130,100,80,75,70,40,40,142,109,71,76,98,65,35,200,10,25,15,10
BHOPAL,23,18,23,135,105,95,65,70,40,40,164,85,70,69,95,62,40,250,14,8,6,10
BHUJ,24,22,23,70,130,130,110,78,40,50,145,84,60,79,88,66,45,195,15,14,14,21
BILASPUR,23,28,29,128,90,75,81,75,40,40,178,142,96,93,104,76,50,NR,18,25,20,20
DURG,22,25,26,141,110,105,88,77,41,52,142,121,76,76,86,80,48,200,10,18,18,10
GWALIOR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
INDORE,23,18,20,132,100,94,64,67,39,38,145,89,66,71,90,NR,45,220,14,11,8,15
JABALPUR,25,18,21,132,105,115,72,72,40,40,122,90,62,72,90,60,35,215,12,17,16,15
