<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:b65bdb0ab6accf3a0072da73cee2eae90d4cdf5a65eee1595f65404ebc77dc45
size 5051
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
CHANDIGARH,30,22,21,51,66,58,84,59,36,35,108,100,67,90,96,108,38,225,15,20,35,40
DELHI,27,18,20,53,70,68,80,66,36,32,166,99,77,95,106,NR,42,205,16,20,65,44
HISAR,25,14,18,61,68,68,69,NR,34,42,145,87,85,80,95,NR,33,160,15,20,40,55
KARNAL,24,19,23,NR,NR,60,78,NR,36,NR,NR,NR,NR,NR,NR,NR,41,150,16,25,48,43
SHIMLA,32,NR,22,48,70,60,80,60,37,30,165,119,77,86,NR,NR,45,160,16,20,60,40
MANDI,25,NR,20,42,71,57,75,61,36,25,NR,104,69,71,NR,NR,37,280,15,15,45,40
SRINAGAR,20,20,26,60,70,NR,NR,NR,40,30,NR,99,77,NR,NR,NR,NR,340,15,30,40,NR
JAMMU,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AMRITSAR,35,19,19,46,69,47,72,60,38,38,142,93,66,93,97,NR,38,238,18,24,44,54
LUDHIANA,24,14,17,70,75,76,75,77,35,35,120,100,75,76,110,75,40,170,14,25,50,50
BATHINDA,32,17,19,48,73,NR,NR,57,38,35,134,97,68,91,103,NR,44,200,16,11,40,34
LUCKNOW,21,16,18,58,66,71,79,65,35,40,146,105,68,NR,NR,NR,46,227,16,17,32,55
KANPUR,19,16,18,50,70,60,76,56,38,40,115,85,70,NR,NR,NR,40,190,NR,12,55,40
VARANASI,20,15,20,50,69,65,80,55,38,NR,125,100,69,NR,NR,NR,36,230,16,14,35,38
AGRA,21,16,19,55,68,55,70,54,34,36,120,88,68,NR,NR,NR,32,250,14,16,30,30
DEHRADUN,20,16,20,45,66,53,79,NR,35,34,126,80,66,88,NR,NR,42,240,16,18,50,40
RAIPUR,22,22,23,43,75,50,75,60,34,31,140,90,70,80,95,75,50,200,8,16,36,26
PANAJI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AHMEDABAD,19,19,16,46,65,55,72,42,35,40,116,86,65,86,87,60,48,250,15,18,45,37
RAJKOT,24,19,19,46,68,58,78,58,34,42,111,73,65,80,87,59,45,260,14,15,50,22
BHOPAL,20,17,19,63,70,54,62,44,38,35,129,78,62,75,79,61,36,165,12,14,20,12
INDORE,25,17,20,48,67,48,70,58,33,35,140,90,72,88,105,NR,42,195,8,18,55,22
GWALIOR,28,15,16,57,62,50,63,45,34,34,162,85,80,80,110,60,32,185,15,35,35,30
JABALPUR,18,15,20,52,67,40,58,NR,40,44,150,98,78,82,90,65,45,182,10,20,40,35
MUMBAI,28,26,29,54,68,64,72,64,40,40,130,112,90,92,100,58,47,280,16,20,60,34
NAGPUR,34,27,27,55,69,63,67,57,35,30,147,118,90,98,108,80,42,220,13,25,25,27
JAIPUR,24,17,18,38,63,43,63,52,35,28,123,76,56,83,96,NR,34,150,12,16,40,29
JODHPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
KOTA,25,17,20,52,70,45,75,45,35,28,165,88,80,85,138,NR,45,200,7,22,30,50
PATNA,32,20,21,45,67,49,69,52,35,32,NR,85,62,91,89,68,NR,170,16,10,45,40
BHAGALPUR,27,18,20,47,54,58,68,52,36,32,NR,95,60,74,90,58,32,240,12,14,60,40
RANCHI,30,22,21,42,65,NR,NR,NR,37,NR,NR,NR,NR,NR,NR,NR,NR,236,16,12,38,36
BHUBANESHWAR,23,NR,22,44,64,48,66,56,35,28,NR,87,64,93,95,68,42,150,15,11,50,25
CUTTACK,24,NR,21,43,68,44,65,55,35,28,NR,86,65,NR,94,67,40,160,15,10,54,23
SAMBALPUR,23,NR,22,42,66,46,66,54,35,28,NR,82,67,82,94,68,38,150,16,12,50,25
ROURKELA,24,21,22,45,65,48,66,56,36,28,176,89,68,85,93,65,41,160,16,13,55,30
KOLKATA,23,NR,20,52,70,54,90,54,35,28,140,92,60,80,94,58,NR,120,8,11,56,32
SILIGURI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
PORT BLAIR,NR,27,41,58,79,NR,NR,68,NR,48,132,137,105,NR,115,79,60,240,15,20,60,50
ITANAGAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GUWAHATI,22,21,23,41,62,54,69,57,36,40,NR,84,65,85,NR,NR,NR,130,6,14,40,40
SHILLONG,21,NR,24,50,66,61,79,62,39,NR,105,86,65,NR,NR,96,NR,200,16,15,35,26
AIZAWL,38,NR,27,NR,NR,80,75,70,45,NR,NR,NR,NR,NR,108,NR,NR,320,20,30,50,70
DIMAPUR,22,16,20,55,70,50,80,65,40,NR,90,93,95,NR,NR,NR,NR,180,10,15,40,25
AGARTALA,22,NR,25,45,56,65,NR,68,38,NR,NR,NR,56,NR,NR,NR,34,140,16,18,52,37
VIJAYWADA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
VISAKHAPATNAM,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
BENGALURU,31,24,26,49,70,64,74,NR,34,27,83,NR,63,64,84,61,39,300,14,16,60,11
DHARWAD,26,29,24,54,74,74,87,NR,35,40,118,NR,70,82,88,59,39,180,16,22,25,33
T.PURAM,33,24,31,57,72,62,74,62,36,36,140,137,82,68,97,68,50,173,9,26,47,39
ERNAKULAM,42,23,28,73,75,61,74,56,36,34,89,116,80,NR,97,65,57,149,14,26,53,30
KOZHIKODE,34,29,41,74,78,72,68,70,34,36,145,135,90,NR,95,64,44,148,10,21,43,18
PUDUCHERRY,30,30,32,55,80,65,80,50,33,29,108,119,78,NR,89,60,50,230,15,22,56,14
CHENNAI,32,28,31,50,70,62,73,60,34,27,119,127,82,NR,98,63,51,260,16,21,54,16
DINDIGUL,27,27,24,48,69,61,72,NR,34,32,121,NR,81,NR,104,66,38,260,14,20,40,12
THIRUCHIRAPALLI,30,27,28,51,65,61,73,NR,33,28,123,NR,77,NR,98,64,44,260,11,20,32,12
HYDERABAD,26,28,30,69,76,69,84,57,38,34,110,107,71,71,93,60,50,192,10,20,45,26
Average Price,26.2,20.66,23.02,51.67,68.67,58.17,73.42,57.98,36.08,33.81,129.58,97.79,72.68,83.03,97.69,67.52,42.12,206,13.76,18.5,44.9,33.41
Maximum Price,42,30,41,74,80,80,90,77,45,48,176,137,105,98,138,108,60,340,20,35,65,70
Minimum Price,18,14,16,38,54,40,58,42,33,25,83,73,56,64,79,58,32,120,6,10,20,11
Modal Price,24,16.5,20,49.5,70,61,77.5,57.6666666666667,35,28,140,90.3333333333333,65,80,95,64,42,192.5,16,20,40,40
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
