<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:ff1b11129b83ac290aafec7b744e1214092692ed6f761e5324fb65c792d737d2
size 5595
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
CHANDIGARH,29,18,21,46,75,60,88,70,36,38,145,90,76,85,100,NR,40,225,15,18,30,26
DELHI,30,18,21,48,82,81,98,81,34,38,143,107,81,88,101,NR,40,200,16,19,30,30
HISAR,24,16,19,39,69,72,81,66,38,44,130,77,85,77,92,NR,35,170,16,11,21,19
KARNAL,25,19,21,41,75,74,93,71,36,42,143,79,87,98,98,NR,38,160,17,17,25,25
PANCHKULA,25,19,24,48,74,70,80,NR,37,45,130,90,75,90,106,NR,48,180,20,25,25,25
GURGAON,28,18,21,46,72,62,74,NR,34,48,143,91,74,87,92,NR,36,180,17,30,25,20
SHIMLA,32,NR,22,46,85,80,95,70,36,30,142,117,83,82,NR,NR,38,180,17,16,30,25
MANDI,30,NR,21,44,84,81,102,80,34,28,NR,115,78,83,NR,NR,30,NR,17,15,24,20
SRINAGAR,26,NR,23,65,70,120,80,80,40,34,NR,105,87,87,117,NR,NR,180,17,40,30,30
JAMMU,30,18,20,45,86,80,100,80,38,40,148,116,76,115,126,89,36,234,17,15,30,30
AMRITSAR,30,18,21,49,72,65,90,66,41,40,134,97,70,92,100,NR,42,240,18,20,25,24
LUDHIANA,25,18,20,47,75,75,95,80,36,42,135,92,75,85,105,60,40,185,16,15,25,20
BATHINDA,27,18,21,47,80,83,108,78,33,42,142,100,78,87,109,NR,35,200,17,7,31,24
LUCKNOW,23,17,20,47,68,76,100,80,35,48,128,90,72,NR,NR,NR,36,225,16,15,25,20
KANPUR,22,17,20,48,80,88,110,76,35,48,115,92,80,NR,NR,NR,33,190,14,15,30,20
VARANASI,28,17,20,46,74,65,100,65,35,40,125,105,69,NR,NR,NR,37,230,16,25,28,30
AGRA,23,16,19,40,76,70,89,73,33,48,83,80,52,NR,NR,NR,25,260,16,10,20,10
DEHRADUN,20,16,20,50,75,74,105,76,35,36,130,83,79,82,128,NR,35,220,17,25,26,20
RAIPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
PANAJI,35,30,27,53,78,85,110,85,31,44,NR,139,96,93,101,64,45,165,16,43,28,28
AHMEDABAD,22,20,22,37,71,73,95,70,34,42,101,84,68,78,74,67,48,250,15,20,20,20
RAJKOT,22,19,22,42,81,85,110,80,30,44,96,70,57,70,72,53,46,260,15,29,18,22
BHOPAL,25,18,20,37,70,70,80,66,35,38,95,78,66,71,80,60,35,250,14,16,16,12
INDORE,26,16,22,39,78,70,94,79,31,37,104,84,68,78,88,NR,35,210,9,30,16,14
GWALIOR,27,16,17,36,65,65,78,63,32,37,145,81,79,76,103,60,32,190,15,25,20,20
JABALPUR,25,17,20,41,66,62,70,60,33,44,106,86,71,78,91,64,NR,207,12,21,20,12
REWA,28,16,20,42,70,52,90,64,33,36,125,82,80,82,100,60,38,230,16,30,25,15
SAGAR,38,23,24,40,80,80,95,80,30,40,87,87,74,71,87,65,NR,210,16,25,20,16
MUMBAI,30,27,31,50,78,81,96,79,38,41,126,99,95,87,80,61,47,250,17,31,28,24
NAGPUR,29,23,25,41,72,64,91,62,35,31,115,100,78,89,100,76,44,220,13,25,23,22
JAIPUR,25,18,21,38,69,66,88,66,31,34,NR,78,64,73,NR,NR,30,160,16,18,24,24
JODHPUR,28,17,21,35,70,65,85,66,35,34,96,82,70,80,90,NR,33,220,15,20,20,15
KOTA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
PATNA,25,18,21,38,73,72,99,67,34,36,NR,91,67,79,115,64,NR,270,16,20,21,17
BHAGALPUR,28,16,18,36,76,70,90,70,35,36,NR,100,70,85,90,66,33,250,14,16,18,20
PURNIA,25,17,20,39,78,NR,NR,68,32,37,NR,95,80,90,NR,NR,28,280,10,12,18,25
RANCHI,25,20,20,45,75,75,94,65,36,38,120,96,75,91,153,71,36,250,17,16,24,10
BHUBANESHWAR,26,NR,23,42,73,72,98,74,32,32,NR,92,63,84,82,62,36,180,16,18,28,20
CUTTACK,25,NR,23,40,76,74,100,77,33,32,NR,97,63,NR,83,64,35,160,16,19,28,20
SAMBALPUR,25,NR,22,41,75,73,98,73,33,32,NR,84,62,75,88,63,35,200,16,18,24,20
ROURKELA,25,21,24,45,77,69,98,74,33,32,NR,94,61,76,81,63,34,160,16,18,24,15
KOLKATA,23,NR,22,45,75,72,112,70,33,34,114,100,64,80,84,61,35,120,9,18,30,22
SILIGURI,27,20,22,39,68,70,98,71,36,30,170,112,71,82,101,NR,NR,120,10,20,30,40
PORT BLAIR,37,27,44,54,86,NR,NR,86,43,56,126,137,120,NR,115,81,59,240,16,34,36,50
ITANAGAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GUWAHATI,24,23,24,42,66,77,100,75,34,44,NR,80,64,80,NR,NR,35,130,6,16,30,35
SHILLONG,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AIZAWL,35,NR,33,NR,NR,78,92,83,49,NR,NR,106,NR,90,87,NR,100,NR,20,47,47,79
DIMAPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AGARTALA,33,NR,25,50,56,70,70,75,38,38,NR,108,83,88,NR,NR,34,140,16,26,32,43
VIJAYWADA,27,26,27,46,78,86,102,69,38,39,100,109,70,NR,79,65,42,183,12,30,25,18
VISAKHAPATNAM,25,25,26,48,78,86,100,62,39,36,100,98,64,NR,85,68,42,213,12,30,24,20
BENGALURU,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
DHARWAD,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
T.PURAM,35,29,29,72,72,73,95,60,35,38,152,132,90,NR,96,74,52,165,12,40,39,31
ERNAKULAM,36,28,28,68,84,75,103,72,35,38,109,127,80,NR,101,68,56,155,14,35,40,36
KOZHIKODE,34,32,45,47,82,80,90,63,33,36,145,135,92,NR,108,70,49,160,12,30,41,18
PUDUCHERRY,30,32,26,50,88,88,115,70,32,36,102,119,86,NR,77,55,50,230,16,32,22,12
CHENNAI,30,32,34,49,86,86,111,80,34,37,101,106,92,NR,85,57,57,220,17,27,24,17
DINDIGUL,31,31,25,47,80,84,100,NR,34,34,104,NR,85,NR,90,63,42,220,14,30,22,15
THIRUCHIRAPALLI,33,30,NR,45,78,84,102,NR,33,35,100,NR,87,NR,90,62,43,220,14,30,22,13
COIMBATORE,32,30,26,45,76,83,105,75,33,37,110,104,70,88,86,62,50,220,17,30,24,16
TIRUNELVELI,32,30,29,45,75,85,102,NR,33,37,112,NR,76,NR,86,61,43,200,16,30,22,15
HYDERABAD,27,29,31,50,80,92,102,67,38,40,100,107,79,81,83,69,50,194,11,32,26,20
Average Price,27.93,21.65,23.8,45.38,75.55,75.78,95.38,72.27,34.95,38.45,120.4,98.24,76.02,83.73,95.43,65.09,41.02,202.93,14.96,23.6,25.95,22.96
Maximum Price,38,32,45,72,88,120,115,86,49,56,170,139,120,115,153,89,100,280,20,47,47,79
Minimum Price,20,16,17,35,56,52,70,60,30,28,83,70,52,70,72,53,25,120,6,7,16,10
Modal Price,25,18,20,45,75,70,100,80,33,37,100,100,70,84.5,97,62,35,220,16,30,30,20
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
