<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:d1c661fd1ef351227dab86c68cad75ffcdbee1951c1c58c8902df73146fc27a6
size 6151
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
CHANDIGARH,30,18,22,48,78,65,92,73,36,38,145,92,78,85,100,NR,40,225,15,12,23,38
DELHI,29,19,21,56,95,87,102,86,32,38,144,110,78,88,101,NR,41,197,16,12,31,33
HISAR,24,16,19,39,69,72,81,66,38,46,130,77,86,77,92,NR,35,160,16,8,17,21
KARNAL,22,17,21,44,77,75,100,74,33,43,144,82,86,95,97,NR,38,170,17,10,23,25
PANCHKULA,25,19,24,48,74,70,80,NR,32,45,130,90,75,90,106,NR,48,180,20,10,25,30
GURGAON,28,18,21,46,72,62,74,NR,34,48,143,91,74,87,92,NR,36,180,17,15,20,20
SHIMLA,32,NR,22,50,90,80,100,85,32,30,142,120,83,82,NR,NR,38,180,17,10,25,30
MANDI,30,NR,20,48,89,83,104,74,31,28,NR,116,76,80,NR,NR,29,180,17,10,25,35
DHARAMSHALA,26,NR,22,50,95,85,105,85,34,30,131,120,82,82,93,71,35,180,17,10,22,30
SRINAGAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
JAMMU,32,18,20,51,96,84,102,78,34,40,148,110,76,109,108,80,34,234,17,15,20,30
AMRITSAR,30,18,22,50,74,72,90,70,35,40,135,97,71,92,100,NR,42,220,18,12,20,30
LUDHIANA,25,18,NR,NR,75,75,95,80,36,42,135,95,75,85,105,60,NR,185,16,10,22,30
BATHINDA,26,18,20,52,89,85,107,83,33,42,143,112,81,91,116,NR,35,215,17,6,22,28
LUCKNOW,23,17,20,53,73,84,105,82,32,48,128,91,72,NR,NR,NR,36,225,16,10,20,20
KANPUR,18,18,20,50,92,90,110,78,32,50,115,92,80,NR,NR,NR,30,190,14,10,25,20
VARANASI,28,17,20,46,80,65,100,65,38,40,125,100,75,NR,NR,NR,40,240,16,9,25,20
AGRA,24,17,20,48,87,77,93,77,30,48,84,84,62,NR,NR,NR,26,250,16,7,28,30
DEHRADUN,20,18,22,52,80,82,106,80,34,36,132,85,78,87,138,NR,36,220,17,20,30,25
HALDWANI,20,18,21,51,77,80,108,76,32,36,130,88,77,88,135,NR,35,215,17,20,30,20
RAIPUR,24,23,25,50,90,75,110,85,30,38,120,100,77,85,100,75,40,200,10,12,23,12
PANAJI,35,30,26,58,88,88,120,83,29,44,NR,NR,NR,NR,NR,NR,43,170,16,23,25,18
AHMEDABAD,22,18,23,43,82,78,100,75,34,42,112,85,65,77,74,58,45,250,16,10,15,20
RAJKOT,24,19,23,51,90,90,NR,74,35,44,113,72,58,75,74,56,45,NR,NR,10,11,19
BHOPAL,22,17,19,38,78,68,85,68,28,38,102,79,70,78,78,60,35,290,14,12,15,17
INDORE,26,16,22,45,86,76,96,64,30,37,112,82,62,78,87,NR,31,210,9,10,11,12
GWALIOR,27,17,19,39,70,68,86,68,29,38,135,79,75,78,103,60,35,190,14,15,20,25
JABALPUR,27,18,21,39,70,66,82,68,33,43,105,84,70,76,88,63,32,210,12,14,19,17
REWA,28,16,20,42,70,52,90,64,33,36,125,82,80,82,100,60,38,230,16,30,25,20
SAGAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
MUMBAI,30,27,28,51,82,81,102,81,29,41,127,94,91,85,80,60,49,250,17,23,24,24
NAGPUR,26,24,30,45,80,71,99,72,32,31,115,102,79,89,100,76,42,220,16,20,19,15
JAIPUR,27,16,19,41,76,73,90,64,28,34,102,80,62,84,88,NR,27,160,16,5,18,22
JODHPUR,28,17,20,35,75,68,88,70,29,36,96,85,72,80,90,NR,28,220,15,15,14,20
KOTA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
PATNA,24,17,20,50,85,80,95,65,32,38,NR,90,55,NR,NR,70,35,180,17,8,20,15
BHAGALPUR,26,18,20,40,80,76,97,72,34,36,NR,92,70,84,86,68,30,260,14,8,18,28
PURNIA,24,16,20,46,86,NR,NR,64,32,37,NR,92,75,90,NR,90,28,280,10,8,18,16
RANCHI,NR,22,22,50,85,82,120,72,32,38,128,NR,65,NR,NR,NR,35,250,17,10,16,20
BHUBANESHWAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
CUTTACK,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
SAMBALPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
ROURKELA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
KOLKATA,22,NR,21,45,86,85,110,68,30,34,118,98,62,80,88,63,35,120,9,8,18,20
SILIGURI,28,19,23,48,68,70,97,74,36,30,153,109,76,82,101,NR,NR,120,10,8,28,15
PORT BLAIR,36,27,45,59,98,95,116,80,39,53,NR,NR,NR,NR,NR,NR,45,332,16,20,35,40
ITANAGAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GUWAHATI,24,23,23,48,78,86,104,73,30,40,NR,80,64,80,NR,NR,35,130,6,8,20,15
SHILLONG,21,26,25,52,83,92,120,78,34,58,98,94,57,89,122,96,NR,250,17,10,25,35
AIZAWL,NR,NR,NR,NR,NR,NR,NR,NR,NR,64,NR,114,NR,98,95,NR,100,360,20,20,40,41
DIMAPUR,23,20,23,60,90,80,120,85,36,50,100,98,105,98,NR,79,70,270,11,15,30,10
AGARTALA,27,NR,27,51,56,76,74,75,34,40,NR,NR,70,NR,NR,NR,46,178,16,15,28,15
VIJAYWADA,27,26,27,49,86,86,107,71,35,39,104,110,76,NR,82,65,44,183,12,22,24,16
VISAKHAPATNAM,25,25,26,50,86,89,108,65,35,36,104,102,72,NR,84,67,44,213,12,22,23,16
BENGALURU,32,27,27,50,92,98,106,NR,28,29,90,NR,67,71,81,65,45,220,14,19,20,14
DHARWAD,29,30,37,49,86,103,105,NR,30,42,95,NR,75,74,79,59,37,201,17,27,23,15
MANGALORE,32,26,31,64,100,100,NR,75,28,30,100,95,94,NR,90,65,40,160,16,20,18,13
MYSORE,NR,31,NR,57,97,90,106,76,29,30,98,NR,59,NR,82,54,40,NR,16,23,25,8
T.PURAM,32,30,35,72,67,77,93,69,32,38,141,134,90,NR,98,76,51,161,12,25,31,21
ERNAKULAM,37,28,28,69,84,75,103,72,35,38,109,127,80,NR,98,68,56,155,14,24,26,20
KOZHIKODE,30,31,45,50,80,75,87,62,31,36,145,135,96,NR,108,70,47,150,10,16,28,13
THRISSUR,32,29,44,53,92,85,110,78,30,38,121,125,98,NR,93,66,50,175,13,29,30,21
PALAKKAD,34,35,45,49,82,93,94,57,35,36,137,136,101,NR,93,73,48,178,10,24,23,17
WAYANAD,30,32,28,49,87,80,106,74,30,39,126,140,91,NR,90,67,40,150,12,25,41,19
PUDUCHERRY,28,32,26,55,95,90,115,75,29,36,113,119,84,NR,77,57,45,250,16,20,20,8
CHENNAI,30,30,30,55,90,91,108,71,30,37,109,111,92,NR,89,60,46,220,17,13,14,10
DINDIGUL,30,30,25,55,86,89,94,NR,29,34,104,NR,85,NR,89,65,38,220,14,20,23,10
THIRUCHIRAPALLI,30,30,NR,54,90,87,97,NR,29,35,106,NR,87,NR,88,61,40,220,14,18,18,10
COIMBATORE,30,30,26,52,88,86,98,70,30,37,115,104,76,88,86,61,42,220,17,18,20,10
TIRUNELVELI,29,30,28,52,92,88,95,NR,29,37,112,NR,79,NR,87,62,38,200,16,18,20,10
HYDERABAD,27,29,31,52,86,92,108,70,34,40,106,116,86,87,85,69,50,194,11,24,24,16
Average Price,27.28,22.65,25.08,49.9,83.23,80.7,99.92,73.44,32.16,39.29,120,99.94,76.88,84.77,94.2,66.89,40.73,207.31,14.73,15.24,22.84,20.52
Maximum Price,37,35,45,72,100,103,120,86,39,64,153,140,105,109,138,96,100,360,20,30,41,41
Minimum Price,18,16,19,35,56,52,74,57,28,28,84,72,55,71,74,54,26,120,6,5,11,8
Modal Price,30,18,20,50,86,77.5,108.8,74,32,38,119.2,92,75,82.3333333333333,100,60,35,220,16,10,20,20
>>>>>>> 6ac9248b3ef33a88bcb4b748e11d3743f40f9979
