<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:f32c1fd6251652b48d1052124c9df97f9eccfc2984e13b3e580824fae455b171
size 12075
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,1800,1640,2000,7000,6900,6800,6000,5500,4070,NR,12000,7800,7400,7800,9400,6800,3450,18000,1700,450,800,800
ALLAHABAD,1800,1750,1850,7000,5800,7000,6500,7000,4000,3500,13200,8500,7500,7500,9800,6200,3500,16500,1000,650,800,1350
AMRITSAR,2600,1800,2300,11200,10000,10000,7300,7900,3900,4000,13200,9900,7500,8200,9600,NR,3800,18000,1600,1100,1000,2300
BATHINDA,2200,1700,2100,7600,8400,9000,7200,6500,3950,4500,14285,8791,8131,8131,9010,NR,3600,18000,1540,600,1000,1000
CHANDIGARH,2450,2000,2300,7200,6400,7000,6800,6200,3900,4200,12550,10200,6900,8150,8950,NR,3300,20000,1650,600,1000,1500
DEHRADUN,1980,1880,2200,6500,11400,11020,10400,8350,3820,3800,12833,9333,6667,8000,9000,NR,3400,21000,1580,800,1100,1400
DELHI,2450,1750,1940,6700,6350,7200,6100,5100,3960,NR,13846,11319,7912,NR,NR,NR,3600,17800,1540,400,575,425
DHARAMSHALA,NR,NR,2300,7800,NR,9400,NR,NR,4200,NR,11325,12800,8300,8300,8800,7300,3800,17800,1650,800,1300,1800
GORAKHPUR,2000,1625,1900,6800,6000,7000,6900,5000,3900,4000,NR,9500,5300,7300,9800,6000,3800,16000,1900,500,1100,1900
GURGAON,3500,1800,1800,7000,7600,7200,5700,5700,4000,3700,8130,7330,6670,7330,8670,6300,3600,13000,1600,500,800,600
HALDWANI,1970,1850,2050,6500,11850,11000,10200,8700,3800,3800,12800,8667,6600,7850,9333,NR,3400,21000,1580,900,1200,1500
HARIDWAR,1980,1900,2200,6500,11700,10850,10200,8600,3850,3900,12800,9200,6800,7668,9334,NR,3600,19800,1580,950,1200,1400
HISAR,2900,1625,2200,7000,8500,8000,6000,6500,3700,3600,10500,9300,6500,7900,7900,6000,2800,16500,1500,800,800,800
JAMMU,2500,1800,2050,7200,7300,7500,6700,6000,4200,3700,NR,9800,7500,9000,8500,6300,3800,22000,1600,780,1150,1070
JHANSI,2160,1635,NR,7000,7000,8000,6200,6500,3980,4000,NR,8000,NR,7800,NR,NR,3350,NR,NR,490,500,850
KANPUR,2000,1625,1980,7600,6200,7100,5800,5800,4200,NR,13500,9000,6500,8500,9800,6500,3900,14000,1200,500,1000,1000
KARNAL,2200,1720,2000,7700,8900,7800,6300,6900,3840,3700,15000,9250,7450,7850,9500,6900,3200,16300,1600,1000,1320,950
LUCKNOW,2150,1625,1740,7880,5400,9200,6480,5100,4100,NR,10500,8600,6500,7500,7800,6500,4200,18500,NR,700,1500,1000
LUDHIANA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
MANDI,2810,NR,2300,8110,8500,7500,7110,6550,4150,NR,NR,12087,7527,7813,NR,NR,3250,16000,1600,350,1100,610
MEERUT,2480,1646,1900,7340,7125,7215,6750,6925,4025,NR,NR,NR,NR,NR,NR,NR,2985,NR,NR,350,900,565
PANCHKULA,2350,2000,2200,8500,9800,8600,7000,7550,3800,4300,13500,9000,6800,7500,9600,6800,3400,16000,1600,700,1200,650
RUDRAPUR,1930,1850,2050,6500,12000,10850,10200,8700,3800,3800,12733,8500,6534,7866,9400,NR,3600,20500,1580,700,1200,1500
SHIMLA,2800,NR,2400,7100,7190,7100,6200,5800,4100,2800,15054,12747,8076,8076,NR,NR,3700,16000,1600,700,1200,1200
SOLAN,3550,NR,2100,7700,7200,7600,6400,6000,4080,NR,NR,12307,8571,7692,NR,7142,3800,16500,1640,800,1300,1700
SRINAGAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
VARANASI,2300,1650,1900,9000,7400,8900,8700,6900,4300,NR,13400,11200,8000,8000,11000,6800,4200,20000,NR,600,1200,1000
AHMEDABAD,2500,2000,2500,7300,6300,7400,6300,5400,4200,NR,11700,9533,6667,7633,7933,6900,5000,20500,1600,1300,1100,1700
AMBIKAPUR,2200,2200,2600,NR,NR,NR,NR,6000,4000,3500,9890,9890,NR,7692,NR,NR,NR,16000,800,800,900,800
BHOPAL,2000,1650,1900,8500,7200,8000,6500,5000,4000,3700,12800,8200,6300,7000,8800,6000,3800,20000,1200,600,500,800
BHUJ,2150,1800,2200,9500,7600,8800,9000,7600,4040,NR,14133,8333,5800,7667,8867,6333,4800,19000,1250,600,600,1000
BILASPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
DURG,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GWALIOR,2000,1700,1900,6500,6000,8000,5800,5000,4000,3800,13500,7200,7200,6800,9000,6500,3600,18000,1400,600,600,1000
INDORE,2000,1700,1900,8700,7300,8100,6300,5200,4000,3600,14000,8300,6300,6900,8800,NR,3900,19000,1000,700,600,700
JABALPUR,2100,1700,1900,6200,6800,7400,6600,4900,4000,4100,11600,9100,6200,7800,7800,6100,3200,21000,1000,950,850,1050
JAGDALPUR,1800,2500,2500,7450,6000,7200,5900,5050,4150,4200,NR,10500,6800,8500,8600,6600,4500,18000,1400,950,950,1300
JAIPUR,2300,1750,2200,6450,5500,6700,5400,5100,3950,3500,12741,7667,6600,7400,8963,NR,2900,12000,1520,300,300,600
JODHPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
KOTA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
MUMBAI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
NAGPUR,2350,2250,2295,7318,6098,8267,6667,5533,4067,4018,11302,9213,7542,8388,9242,7333,4195,14267,1450,475,437,913
NASHIK,2400,2200,2150,7500,6033,8067,6533,5767,3627,3400,11767,10500,7533,6867,8617,6833,3733,24000,1300,900,700,1367
PANAJI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
PUNE,4300,2467,2633,7633,6233,8167,6800,5467,3900,3533,11900,14645,6633,6633,7400,6300,3533,21033,1483,833,533,467
RAIPUR,2300,2400,2000,7200,5500,6000,5200,4800,4020,3800,11400,8300,6500,7400,7700,6800,3900,16000,800,1000,800,1200
RAJKOT,2100,2000,1800,7300,6600,7400,7000,5800,4100,NR,11133,8000,6933,8133,7467,6267,4600,21800,1600,700,650,1400
REWA,2300,1650,2000,8000,7500,6300,6000,6200,4000,3800,15500,8000,6000,7500,8500,6100,3800,22000,1400,900,800,900
SAGAR,2050,1400,1800,10500,7500,7400,5800,6500,3700,3900,12637,6813,6043,7142,10000,6373,2800,20900,1200,1000,700,600
SURAT,2000,2000,2000,7000,6100,7700,6300,5400,3900,NR,11267,9200,6600,7667,7667,6000,3800,20000,750,1000,600,900
UDAIPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
BALASORE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
BERHAMPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
BHAGALPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
BHUBANESHWAR,2300,NR,1960,7200,5800,7600,5800,5300,4220,NR,NR,9067,6533,NR,NR,7233,4900,NR,1560,700,980,1500
CUTTACK,2400,2000,2300,7000,6100,6300,5500,5000,4160,NR,NR,9200,6850,NR,9157,7133,4700,NR,1500,720,900,NR
DARBHANGA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GAYA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
JEYPORE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
KHARAGPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
KOLKATA,2500,NR,1850,7400,6000,6800,6300,4900,4070,3725,14000,8600,6700,6800,7400,6100,3300,12000,700,650,1200,2400
MALDA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
MUZZAFARPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
PATNA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
PURNIA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
PURULIA,2700,1600,2100,7300,10000,12300,8200,8700,3800,3700,12200,9700,7400,7800,8800,6200,4500,15000,1400,700,1800,1100
RAIGANJ,2800,1500,2200,8000,8200,9200,8500,8900,4200,3200,8500,9000,8300,8400,8600,6700,3450,20000,800,600,900,1250
RAMPURHAT,3000,1520,2000,7500,13700,13500,12500,9000,4000,NR,NR,9500,6000,8500,8000,6000,3600,18000,900,670,1400,1400
RANCHI,2973,2200,1900,7200,6000,7400,6500,5200,4160,NR,14700,9675,7550,7550,8950,6750,3800,NR,1500,600,800,500
ROURKELA,2250,NR,2320,7400,5900,NR,NR,5100,4220,NR,NR,8667,7000,8200,8533,6800,3850,NR,1520,700,800,1600
SAMBALPUR,2000,NR,1840,7100,6000,7000,5600,5000,4110,NR,NR,9466,7000,8000,8628,6866,3900,NR,1500,640,900,1400
SILIGURI,2850,1900,2100,7300,7800,9600,7100,7500,3975,3600,13500,10000,6600,8000,8500,7000,3400,11000,700,900,1400,1500
AGARTALA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AIZAWL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
DIMAPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GANGTOK,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GUWAHATI,2400,2300,2600,7500,7000,9000,7000,6500,4100,NR,NR,7866,5866,7400,NR,6666,4000,NR,700,800,1000,2100
IMPHAL,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
ITANAGAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
JOWAI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
SHILLONG,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
TURA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
ADILABAD,3000,2600,2700,11100,11000,13400,8600,6700,3650,3800,11150,NR,6000,7700,7900,6000,3200,14000,1200,2000,1100,1500
BENGALURU,4500,2800,2400,7800,7400,10200,7400,6400,4100,3450,10000,11000,7800,7400,8500,7400,4800,20000,560,1400,1000,800
CHENNAI,3000,2400,2200,7200,5800,7500,6200,5100,4160,NR,13516,NR,9450,NR,8901,6483,4600,NR,1400,900,800,900
COIMBATORE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
CUDDALORE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
DHARMAPURI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
DHARWAD,3900,2700,2900,7500,7200,9980,7100,7300,3600,3500,12500,13800,6000,7500,7400,6200,3800,13000,1000,1800,1000,1000
DINDIGUL,3200,2760,2360,7600,6300,9400,6900,NR,4160,NR,14945,NR,8186,NR,8956,6593,4500,NR,1550,1600,1000,1000
ERNAKULAM,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
HYDERABAD,2600,2400,2500,11100,11000,14000,8800,7000,3750,3800,11200,10300,6200,7900,7950,5950,4100,18000,1000,2400,1200,1500
JADCHERLA,2600,2700,2800,11200,12000,13700,8100,6400,3700,3900,11300,NR,6300,NR,8200,6050,4600,18000,1100,2300,1000,1500
KARIMNAGAR,2450,2350,2600,11200,11300,13900,8700,6900,3700,3600,11300,10300,6300,NR,7900,6000,4000,16000,950,2200,1200,1500
KOZHIKODE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
KURNOOL,2650,2300,2550,9400,8500,9800,8650,8500,4050,3750,11538,NR,6800,NR,8600,6800,4200,16000,1100,1800,1000,1400
MANGALORE,3850,2850,3100,NR,6600,7900,NR,4800,3980,3500,11000,10900,6100,6300,7500,5700,NR,NR,480,1350,850,800
MAYABUNDER,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
