<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:a9b0dea18d611d904d2d7ca3e7454e54d4b4768a8294af70b68a48af87d5d237
size 12934
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,2000,1660,1900,6500,5700,5600,4800,4500,4080,4500,12000,8000,7400,7700,9400,6800,3850,18000,1700,500,1500,3500
ALLAHABAD,1800,1750,1850,6500,5800,5800,5000,6500,4000,3500,13200,8500,7500,7500,9800,6200,3500,16500,1000,700,800,5700
AMRITSAR,2650,1850,2125,5500,5200,5200,5400,5800,3960,4000,9200,7100,6800,7200,7250,NR,3700,20000,1700,500,1300,7200
BATHINDA,2200,1700,2100,7000,8100,8200,7000,6000,4000,4800,14285,9120,7692,8241,8571,NR,4400,18000,1540,500,1400,6000
CHANDIGARH,2550,2100,2400,7200,6400,7000,6800,6200,3950,4200,12550,10200,6900,8100,8700,NR,3500,20000,1500,700,1800,5000
DEHRADUN,2100,1800,2100,6700,10000,10200,9750,8000,3820,3800,12800,8666,6667,8000,9000,NR,3400,21000,1580,1600,1650,5400
DELHI,2500,1775,1960,6600,6250,6600,5800,4850,4030,NR,13919,11209,7839,NR,NR,NR,3600,17800,1550,625,1875,2900
DHARAMSHALA,2400,NR,2300,7000,7300,7300,6300,6100,4200,NR,11325,12800,8300,7800,8800,6800,3800,17800,1650,1300,2300,6800
GORAKHPUR,2000,1560,1800,6000,5500,6500,6500,4400,3900,4000,NR,9500,5300,7300,9800,6000,3800,16000,1900,600,2500,3500
GURGAON,3400,1800,2100,6300,7400,7200,6200,5100,4000,4000,8130,7330,6670,7330,8670,6500,4000,20000,1600,1600,2400,7800
HALDWANI,2000,1850,2000,6800,10700,9900,NR,8200,3800,3800,12600,8500,6534,7866,9400,NR,3600,NR,1580,1500,1550,4600
