<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:0ae2507aba75ee59c6335e19634997c2a5a4e3ff4b595437deb368db1e8b6136
size 11727
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,2000,1660,1900,6500,5800,6000,5000,4600,4030,4500,12000,8000,7400,7700,9400,6800,3800,18000,1700,450,1800,3200
ALLAHABAD,1800,1750,1850,6500,5800,5800,5000,6500,4000,3500,13200,9000,7500,8000,9800,6200,3500,16500,1000,700,800,5700
AMRITSAR,2650,1850,2125,5500,5200,5200,5400,5800,3960,4000,9200,7100,6800,7200,7250,NR,3700,20000,1700,500,1300,7200
BATHINDA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
CHANDIGARH,2550,2100,2400,7100,6300,7000,6650,6100,3950,4200,12550,10200,6900,8100,8700,NR,3500,20000,1500,700,2400,5000
DEHRADUN,2100,1800,2100,6700,10000,10200,9750,8000,3820,3800,12800,8666,6667,8000,9000,NR,3400,21000,1580,1600,1650,5400
DELHI,2550,1785,1970,6650,6400,6550,6000,4900,4020,NR,13993,11209,7912,NR,NR,NR,3650,17800,1540,625,1850,3050
DHARAMSHALA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GORAKHPUR,2000,1560,1800,6000,5500,6500,6500,4400,3900,4000,NR,9500,5300,7300,9800,6000,3800,16000,1900,600,2500,3500
GURGAON,3400,1800,2100,6300,7400,7200,6200,5100,4000,4000,8130,7330,6670,7330,8670,6500,4000,20000,1600,1600,2400,7800
HALDWANI,2000,1850,2000,6500,10500,10000,9900,8300,3800,3800,12666,8667,6600,7850,9333,NR,3400,21000,1580,1500,1600,5000
HARIDWAR,2200,1850,2200,6800,11000,10500,9800,8400,3850,3900,12833,9000,7666,8066,9334,NR,3600,19800,1580,1600,1600,5500
HISAR,2900,1650,2200,7000,7500,7500,6200,6000,3800,3600,11000,9000,7000,8500,8000,6000,3400,18000,1550,1200,3000,8000
JAMMU,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
JHANSI,2150,1570,NR,6200,6100,7000,5800,6400,3950,4000,NR,8000,7000,7800,NR,NR,3300,NR,NR,450,1800,3500
KANPUR,2000,1600,1990,6500,5700,6000,5800,5100,4040,NR,13300,8800,6600,8600,9700,6500,3950,14000,1200,1100,2200,8500
KARNAL,1980,1800,2200,6700,8150,6900,6000,6300,4000,4400,15000,9250,7450,7850,10000,6900,3500,16300,1600,1150,2000,7700
LUCKNOW,2150,1650,1760,7100,6350,7800,6120,4700,4010,4950,10500,8600,6500,7500,7700,6500,4550,18200,1520,900,2500,5500
LUDHIANA,2700,1800,2400,6500,6000,6500,6000,6500,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
