<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:27d456d0e3be3ef87dd97180c788ce9ee9ff19ad18fbc2cb4d50bef203b1914f
size 11834
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,2000,1650,1900,7000,5800,5500,5100,4600,4100,4500,11758,7815,7228,7521,9182,6642,3900,18000,1700,500,1600,2200
ALLAHABAD,1800,1750,1850,7000,6000,5800,5200,5500,4000,3500,12000,9000,7500,8200,9200,6300,4000,16500,1600,650,2200,2200
AMRITSAR,2200,1850,2125,6800,6500,7200,5800,6200,4200,4000,9200,7800,6950,7800,7750,NR,3950,20000,1700,500,1700,5000
BATHINDA,2250,1700,2100,7000,7900,8000,6900,5800,4150,4900,14285,10219,8241,9450,9780,NR,4200,18000,1650,400,2100,1600
CHANDIGARH,2550,2100,2400,7300,6300,6800,6300,5500,4000,4200,12550,10200,6900,8100,8700,NR,3500,20000,1500,650,2100,2800
DEHRADUN,2100,1800,2100,6700,9900,10200,9750,8000,4000,3800,12800,8666,6667,8000,9000,NR,3400,21000,1580,1600,1650,3200
DELHI,2600,1765,1940,6950,6350,6900,6100,4750,4040,NR,13846,11099,8132,NR,NR,NR,3600,17900,1540,700,1450,2175
DHARAMSHALA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GORAKHPUR,1900,1570,1750,7000,6000,6500,7000,4200,3800,4000,NR,9500,5300,7300,9800,6000,3900,16000,1900,600,1600,2000
GURGAON,3400,1800,2100,6300,7100,7600,5800,5100,4000,4000,8533,7330,6670,7330,8670,6500,4000,24000,1600,1600,1800,3600
HALDWANI,2000,1850,2000,6500,10500,10000,9900,8300,3800,3800,12666,8667,6600,7850,9333,NR,3400,21000,1580,1500,1600,4000
HARIDWAR,2200,1850,2200,6800,11000,10500,9800,8400,4000,3900,12833,9000,7666,8066,9334,NR,3600,19800,1580,1600,1600,4200
HISAR,3000,1650,2200,7500,7500,7500,7000,6000,3900,3600,11000,9000,7000,8500,8000,6000,4000,18000,1550,800,2500,3000
JAMMU,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
