<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:9b5d5c0315262c8717234eb99d3918f3a6a71a0f059d7ebe4c798ad2847a3d8f
size 11110
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
ALLAHABAD,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AMRITSAR,2500,1800,2125,5000,5900,6000,4200,4500,4000,4000,9200,7800,6800,7800,8000,NR,3650,19000,1700,500,2000,4200
BATHINDA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
CHANDIGARH,2550,2100,2400,6850,6150,6500,6200,5300,4000,4200,12550,10200,6900,8100,8700,NR,3500,20000,1500,900,3000,4000
DEHRADUN,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
DELHI,2600,1885,2050,6300,6350,6400,6150,4600,4000,NR,13919,11209,7985,NR,NR,NR,3200,18000,1540,800,2475,3225
DHARAMSHALA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GORAKHPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GURGAON,3400,1800,2200,6250,6500,7100,5400,4800,4000,4000,8533,NR,7000,7330,8670,6500,4000,26500,1600,1100,3800,4600
