<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:df07d0189f9f84170133714ba63215a0f1fa7a918f68a63610e174b595972fdf
size 13064
=======
Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/ Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Ground- nut Oil *,Must- ard Oil *,Vanas- pati *,Soya Oil *,Sun- flower Oil *,Palm Oil *,Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
AGRA,2000,1700,1900,5000,6000,4900,5900,4900,3700,4500,11758,8498,7424,7815,9175,6838,3300,18000,1700,1200,1000,1700
ALLAHABAD,1800,1750,1850,4400,5500,4500,6000,4500,3600,3500,14000,9500,7000,8500,9600,7400,2600,16500,1600,1200,2400,2200
AMRITSAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
BATHINDA,2350,1850,2050,5900,6400,5800,6000,5600,3250,4400,11000,9600,8000,8000,12000,NR,3200,19500,1650,1200,1300,1300
CHANDIGARH,2550,2100,2400,4450,5800,4800,6550,4200,3150,4200,12600,9650,7300,8400,8550,NR,2900,20000,1500,1300,1500,1850
DEHRADUN,2100,1800,1900,6000,6500,7000,6700,7000,3300,4000,12800,7866,8000,7466,9333,NR,3250,20000,1580,1000,1800,1500
DELHI,2680,1895,2060,5250,6250,5800,6750,5150,3450,NR,13919,10623,8791,9670,10037,8425,3350,18700,1620,950,1125,1375
DHARAMSHALA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
GORAKHPUR,2100,1650,2000,4700,5700,4500,7000,4500,3400,4000,14285,10439,5824,8131,10769,6593,3400,16000,1700,1400,1500,2800
GURGAON,2800,1800,2000,5000,6700,6500,5800,5500,3400,4100,12637,8791,8791,9340,9890,7912,3500,21500,1600,1500,1900,2800
HALDWANI,2200,1580,2000,6000,7000,7200,7200,6900,3400,4200,12666,8333,7666,7666,9333,NR,3200,18000,1580,1100,1800,1500
