<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:51563c04f15361a91b7b6b008dd599b3e5980b09b79d7420daa4aca9dcb47f12
size 35550
=======
DATE,PRICE
2016-01-01,800.0
2016-01-02,800.0
2016-01-03,800.0
2016-01-04,850.0
2016-01-05,850.0
2016-01-06,900.0
2016-01-07,900.0
2016-01-08,900.0
2016-01-09,900.0
2016-01-10,900.0
2016-01-11,900.0
2016-01-12,900.0
2016-01-13,750.0
2016-01-14,749.9842326912249
2016-01-15,750.0
2016-01-16,850.0
2016-01-17,900.0
2016-01-18,900.0
2016-01-19,900.0
2016-01-20,900.0
2016-01-21,950.0
2016-01-22,950.0
2016-01-23,925.0
2016-01-24,900.0
2016-01-25,900.0
2016-01-26,900.0
2016-01-27,900.0
2016-01-28,650.0
2016-01-29,950.0
2016-01-30,925.0
2016-01-31,900.0
2016-02-01,900.0
2016-02-02,900.0
2016-02-03,900.0
2016-02-04,650.0
2016-02-05,900.0
2016-02-06,900.0
2016-02-07,850.0
2016-02-08,850.0
2016-02-09,900.0
2016-02-10,900.0
2016-02-11,900.0
2016-02-12,900.0
2016-02-13,900.0
2016-02-14,875.0
2016-02-15,875.0
2016-02-16,950.0
2016-02-17,850.0
2016-02-18,850.0
2016-02-19,775.0
2016-02-20,775.0
2016-02-21,775.0
2016-02-22,800.0
2016-02-23,750.0
2016-02-24,850.0
2016-02-25,750.0
2016-02-26,900.0
2016-02-27,900.0
2016-02-28,825.0
2016-02-29,825.0
2016-03-01,787.5
2016-03-02,750.0
2016-03-03,850.0
2016-03-04,850.0
2016-03-05,850.0
2016-03-06,850.0
2016-03-07,850.0
2016-03-08,850.0
2016-03-09,850.0
2016-03-10,850.0
2016-03-11,850.0
2016-03-12,850.0
2016-03-13,850.0
2016-03-14,850.0
2016-03-15,750.0
2016-03-16,750.0
2016-03-17,700.0
2016-03-18,700.0
2016-03-19,750.0
2016-03-20,700.0
2016-03-21,700.0
2016-03-22,650.0
2016-03-23,650.0
2016-03-24,650.0
2016-03-25,650.0
2016-03-26,650.0
2016-03-27,650.0
2016-03-28,650.0
2016-03-29,750.0
2016-03-30,750.0
2016-03-31,650.0
2016-04-01,650.0
2016-04-02,650.0
2016-04-03,650.0
2016-04-04,650.0
2016-04-05,650.0
2016-04-06,750.0
2016-04-07,650.0
2016-04-08,650.0
2016-04-09,650.0
2016-04-10,650.0
2016-04-11,650.0
2016-04-12,650.0
2016-04-13,650.0
2016-04-14,650.0
2016-04-15,650.0
2016-04-16,650.0
2016-04-17,650.0
2016-04-18,650.0
2016-04-19,650.0
2016-04-20,650.0
2016-04-21,650.0
2016-04-22,650.0
2016-04-23,650.0
2016-04-24,650.0
2016-04-25,650.0
2016-04-26,650.0
2016-04-27,650.0
2016-04-28,1300.0
2016-04-29,1300.0
2016-04-30,1300.0
2016-05-01,650.0
2016-05-02,650.0
2016-05-03,750.0
2016-05-04,750.0
2016-05-05,850.0
2016-05-06,850.0
2016-05-07,850.0
2016-05-08,850.0
2016-05-09,850.0
2016-05-10,850.0
2016-05-11,850.0
2016-05-12,850.0
2016-05-13,850.0
2016-05-14,850.0
2016-05-15,850.0
2016-05-16,850.0
2016-05-17,850.0
2016-05-18,850.0
2016-05-19,1050.0
2016-05-20,1050.0
2016-05-21,1050.0
2016-05-22,1050.0
2016-05-23,1050.0
2016-05-24,1050.0
2016-05-25,1050.0
2016-05-26,1050.0
2016-05-27,1050.0
2016-05-28,1075.0
2016-05-29,1050.0
2016-05-30,1050.0
2016-05-31,1050.0
2016-06-01,1050.0
2016-06-02,1050.0
2016-06-03,1050.0
2016-06-04,1050.0
2016-06-05,1050.0
2016-06-06,1050.0
2016-06-07,1050.0
2016-06-08,1050.0
2016-06-09,1050.0
2016-06-10,1050.0
2016-06-11,1150.0
2016-06-12,1050.0
2016-06-13,1150.0
2016-06-14,1150.0
2016-06-15,1150.0
2016-06-16,1050.0
2016-06-17,1049.9868592810597
2016-06-18,1050.0
2016-06-19,1250.0
2016-06-20,1250.0
2016-06-21,1250.0
2016-06-22,1250.0
2016-06-23,1250.0
2016-06-24,1250.0
2016-06-25,1250.0
2016-06-26,1250.0
2016-06-27,1250.0
2016-06-28,1250.0
2016-06-29,1250.0
2016-06-30,1150.0
2016-07-01,1150.0
2016-07-02,1250.0
2016-07-03,1250.0
2016-07-04,1250.0
2016-07-05,1250.0
2016-07-06,1300.0
2016-07-07,1300.0
2016-07-08,1250.0
2016-07-09,1218.5505691360354
2016-07-10,1191.5147475670199
2016-07-11,1169.9869113094874
2016-07-12,1155.4558425418847
2016-07-13,1150.0
2016-07-14,1150.0
2016-07-15,1250.0
2016-07-16,1250.0
2016-07-17,1200.0
2016-07-18,1150.0
2016-07-19,1150.0
2016-07-20,1150.0
2016-07-21,1150.0
2016-07-22,1250.0
2016-07-23,1150.0
2016-07-24,1100.0
2016-07-25,1250.0
2016-07-26,1100.0
2016-07-27,1100.0
2016-07-28,1150.0
2016-07-29,1100.0
2016-07-30,1112.5
2016-07-31,1125.0
2016-08-01,1125.0
2016-08-02,1150.0
2016-08-03,1125.0
2016-08-04,1150.0
2016-08-05,1150.0
2016-08-06,1200.0
2016-08-07,1175.0
2016-08-08,1150.0
2016-08-09,1150.0
2016-08-10,1150.0
2016-08-11,1200.0
2016-08-12,1200.0
2016-08-13,1200.0
2016-08-14,1162.5
2016-08-15,1125.0
2016-08-16,1200.0
2016-08-17,1200.0783526746404
2016-08-18,1200.1039723902784
2016-08-19,1200.077609452529
2016-08-20,1200.0
2016-08-21,1194.4085729150427
2016-08-22,1180.5440409790185
2016-08-23,1162.5
2016-08-24,1144.4212712031372
2016-08-25,1130.5047050099809
2016-08-26,1125.0
2016-08-27,1200.0
2016-08-28,1200.0
2016-08-29,1200.0
2016-08-30,1200.0
2016-08-31,1200.0
2016-09-01,1200.0
2016-09-02,1175.0
2016-09-03,1150.0
2016-09-04,1125.0
2016-09-05,1100.0
2016-09-06,1100.0
2016-09-07,1000.0
2016-09-08,1000.0
2016-09-09,1050.0
2016-09-10,1100.0
2016-09-11,1100.0
2016-09-12,1000.0
2016-09-13,1000.0
2016-09-14,1000.0
2016-09-15,1000.0
2016-09-16,1000.0
2016-09-17,1000.0
2016-09-18,1000.0
2016-09-19,1000.0
2016-09-20,1012.9629629629628
2016-09-21,1037.04575883522
2016-09-22,1050.0
2016-09-23,1000.0
2016-09-24,1000.0
2016-09-25,1000.0
2016-09-26,1000.0
2016-09-27,1000.0
2016-09-28,1000.0
2016-09-29,1000.0
2016-09-30,1000.0
2016-10-01,900.0
2016-10-02,950.0
2016-10-03,1000.0
2016-10-04,1000.0
2016-10-05,1000.0
2016-10-06,1000.0
2016-10-07,1000.0
2016-10-08,1000.0
2016-10-09,1000.0
2016-10-10,1000.0
2016-10-11,1000.0
2016-10-12,1000.0
2016-10-13,1000.0
2016-10-14,1000.0
2016-10-15,850.0
2016-10-16,850.0
2016-10-17,850.0
2016-10-18,850.0
2016-10-19,850.0
2016-10-20,850.0
2016-10-21,800.0
2016-10-22,750.0
2016-10-23,750.0
2016-10-24,750.0
2016-10-25,750.0
2016-10-26,750.0
2016-10-27,750.0
2016-10-28,750.0
2016-10-29,750.0
2016-10-30,750.0
2016-10-31,750.0
2016-11-01,750.0
2016-11-02,750.0
2016-11-03,750.0
2016-11-04,750.0
2016-11-05,750.0
2016-11-06,750.0
2016-11-07,800.0
2016-11-08,750.0
2016-11-09,750.0
2016-11-10,750.0
2016-11-11,750.0
2016-11-12,675.0
2016-11-13,675.0
2016-11-14,675.0
2016-11-15,675.0
2016-11-16,750.0
2016-11-17,675.0
2016-11-18,675.0
2016-11-19,675.0
2016-11-20,675.0
2016-11-21,550.0
2016-11-22,650.0
2016-11-23,650.0
2016-11-24,650.0
2016-11-25,650.0
2016-11-26,650.0
2016-11-27,600.0
2016-11-28,600.0
2016-11-29,600.0
2016-11-30,450.0
2016-12-01,450.0
2016-12-02,475.0
2016-12-03,450.0
2016-12-04,450.0
2016-12-05,450.0
2016-12-06,450.0
2016-12-07,650.0
2016-12-08,587.5
2016-12-09,525.0
2016-12-10,525.0
2016-12-11,525.0
2016-12-12,525.0
2016-12-13,487.5
2016-12-14,450.0
2016-12-15,450.0
2016-12-16,450.0
2016-12-17,450.0
2016-12-18,450.0
2016-12-19,450.0
2016-12-20,400.0
2016-12-21,400.0
2016-12-22,450.0
2016-12-23,450.0
2016-12-24,450.0
2016-12-25,450.0
2016-12-26,450.0
2016-12-27,425.0
2016-12-28,450.0
2016-12-29,450.0
2016-12-30,450.0
2016-12-31,450.0
2017-01-01,875.0
2017-01-02,425.0
2017-01-03,450.0
2017-01-04,750.0
2017-01-05,750.0
2017-01-06,450.0
2017-01-07,475.0
2017-01-08,525.0
2017-01-09,525.0
2017-01-10,525.0
2017-01-11,400.0
2017-01-12,425.0
2017-01-13,450.0
2017-01-14,450.0
2017-01-15,500.0
2017-01-16,550.0
2017-01-17,525.0
2017-01-18,650.0
2017-01-19,550.0
2017-01-20,550.0
2017-01-21,525.0
2017-01-22,525.0
2017-01-23,525.0
2017-01-24,525.0
2017-01-25,525.0
2017-01-26,450.0
2017-01-27,550.0
2017-01-28,525.0
2017-01-29,525.0
2017-01-30,525.0
2017-01-31,525.0
2017-02-01,550.0
2017-02-02,525.0
2017-02-03,575.0
2017-02-04,575.0
2017-02-05,575.0
2017-02-06,575.0
2017-02-07,525.0
2017-02-08,550.0
2017-02-09,525.0
2017-02-10,587.5
2017-02-11,650.0
2017-02-12,600.0
2017-02-13,600.0
2017-02-14,450.0
2017-02-15,550.0
2017-02-16,650.0
2017-02-17,550.0
2017-02-18,550.0
2017-02-19,550.0
2017-02-20,550.0
2017-02-21,525.0
2017-02-22,550.0
2017-02-23,550.0
2017-02-24,550.0
2017-02-25,550.0
2017-02-26,525.0
2017-02-27,525.0
2017-02-28,525.0
2017-03-01,450.0
2017-03-02,450.0
2017-03-03,450.0
2017-03-04,525.0
2017-03-05,525.0
2017-03-06,525.0
2017-03-07,525.0
2017-03-08,550.0
2017-03-09,450.0
2017-03-10,450.0
2017-03-11,450.0
2017-03-12,450.0
2017-03-13,450.0
2017-03-14,450.0
2017-03-15,500.0
2017-03-16,450.0
2017-03-17,500.0
2017-03-18,550.0
2017-03-19,525.0
2017-03-20,450.0
2017-03-21,450.0
2017-03-22,550.0
2017-03-23,550.0
2017-03-24,550.0
2017-03-25,550.0
2017-03-26,550.0
2017-03-27,550.0
2017-03-28,550.0
2017-03-29,550.0
2017-03-30,550.0
2017-03-31,550.0
2017-04-01,550.0
2017-04-02,550.0
2017-04-03,550.0
2017-04-04,550.0
2017-04-05,550.0
2017-04-06,550.0
2017-04-07,550.0
2017-04-08,650.0
2017-04-09,575.0
2017-04-10,575.0
2017-04-11,612.5
2017-04-12,650.0
2017-04-13,675.0
2017-04-14,650.0
2017-04-15,650.0
2017-04-16,650.0
2017-04-17,650.0
2017-04-18,650.0
2017-04-19,650.0
2017-04-20,650.0
2017-04-21,650.0
2017-04-22,650.0
2017-04-23,750.0
2017-04-24,750.0
2017-04-25,750.0
2017-04-26,750.0
2017-04-27,650.0
2017-04-28,650.0
2017-04-29,650.0
2017-04-30,750.0
2017-05-01,750.0
2017-05-02,750.0
2017-05-03,750.0
2017-05-04,750.0
2017-05-05,650.0
2017-05-06,750.0
2017-05-07,750.0
2017-05-08,750.0
2017-05-09,750.0
2017-05-10,700.0
2017-05-11,650.0
2017-05-12,700.0
2017-05-13,750.0
2017-05-14,750.0
2017-05-15,750.0
2017-05-16,750.0
2017-05-17,750.0
2017-05-18,650.0
2017-05-19,750.0
2017-05-20,750.0
2017-05-21,650.0
2017-05-22,650.0
2017-05-23,650.0
2017-05-24,550.0
2017-05-25,550.0
2017-05-26,550.0
2017-05-27,550.0
2017-05-28,550.0
2017-05-29,550.0
2017-05-30,550.0
2017-05-31,550.0
2017-06-01,550.0
2017-06-02,550.0
2017-06-03,550.0
2017-06-04,550.0
2017-06-05,550.0
2017-06-06,600.0
2017-06-07,650.0
2017-06-08,600.0
2017-06-09,568.7450824081562
2017-06-10,550.0
2017-06-11,550.0
2017-06-12,550.0
2017-06-13,550.0
2017-06-14,550.0
2017-06-15,550.0
2017-06-16,550.0
2017-06-17,550.0
2017-06-18,550.0
2017-06-19,550.0
2017-06-20,550.0
2017-06-21,550.0
2017-06-22,550.0
2017-06-23,550.0
2017-06-24,550.0
2017-06-25,550.0
2017-06-26,550.0
2017-06-27,550.0
2017-06-28,550.0
2017-06-29,550.0
2017-06-30,550.0
2017-07-01,550.0
2017-07-02,550.0
2017-07-03,550.0
2017-07-04,550.0
2017-07-05,550.0
2017-07-06,550.0
2017-07-07,550.0
2017-07-08,550.0
2017-07-09,524.0697028813241
2017-07-10,475.93029711867587
2017-07-11,450.0
2017-07-12,450.0
2017-07-13,475.0
2017-07-14,468.53571908272784
2017-07-15,456.48148148148147
2017-07-16,450.0
2017-07-17,450.0
2017-07-18,450.0
2017-07-19,450.0
2017-07-20,450.0
2017-07-21,450.0
2017-07-22,450.0
2017-07-23,450.0
2017-07-24,450.0
